Año,Autoridad Portuaria,Graneles Líquidos,Graneles Sólidos,Mercancía General,Pesca Fresca,Avitua- llamiento,Tráfico Local,TOTAL TRAFICO,TEUS,Buques
2007,Gijón,1470211,18305091,755907,12435,234511,3972,20782127,13849,1080
2007,Huelva,13463433,7603640,716115,5166,91682,17532,21897568,0,1813
2007,Las Palmas,4673990,1615745,18217050,3856,2184122,0,26694763,1317320,9982
2007,Málaga,109375,1603906,4537741,1832,119774,2066,6374694,542405,1965
2007,Marín y Ría de Pontevedra,10,937575,970227,3644,53953,0,1965409,46548,547
2007,Melilla,68282,51655,683245,0,25814,0,828996,22148,1340
2007,Motril,1543573,973264,216237,3447,16677,0,2753198,2,431
2007,Pasaia,0,2778170,2245712,6708,43793,0,5074383,0,1453
2007,Santa Cruz de Tenerife,9585968,1716058,7448916,5613,1079023,38078,19873656,486697,18050
2007,Santander,424288,4374837,1387396,8514,66454,0,6261489,330,1506
2007,Sevilla,325214,2343706,2049057,0,47000,0,4764977,135040,1296
2007,Tarragona,20594596,13626199,1698767,3816,182826,33535,36139739,47136,2968
2007,Valencia,5543232,7322671,40389134,1076,338248,0,53594361,3042665,7287
2007,Vigo,82363,632226,4315555,89718,405714,556,5526132,244065,2427
2007,Vilagarcía,416135,570068,205178,0,7884,0,1199265,9,304
2006,A Coruña,8205047,4095639,1050589,30757,112363,312630,13807025,1355,1267
2006,Alicante,189406,1642514,1821197,2634,75389,0,3731140,172729,1431
2006,Almería ,6613,5964929,575515,7010,140111,0,6694178,192,2345
2006,Avilés,814455,3615486,1487813,14205,56636,0,5988595,9114,1008
2006,Bahía de Algeciras,20262632,2708226,43354091,1087,3053269,2329370,71708675,3256776,22293
2006,Bahía de Cádiz,73815,2699354,2987479,23535,87537,0,5871720,155370,1735
2006,Baleares,2169278,2188436,9937796,2982,246295,0,14544787,201382,11376
2006,Barcelona,10536375,4107582,31762162,3483,1247918,0,47657520,2318239,9533
2006,Bilbao,22289779,5524178,9394336,0,141482,1241053,38590828,523113,3683
2006,Cartagena,19348682,5173022,998686,1412,115331,22429,25659562,39594,1648
2006,Castellón,8120272,3590891,1546441,8584,47531,0,13313719,71660,1308
2006,Ceuta ,964503,66793,891278,138,509307,0,2432019,10623,10190
2006,Ferrol-S. Cibrao  ,936920,8709257,557720,159,23520,269,10227845,1249,1117
2006,Gijón,1356232,18298185,600585,13470,219821,0,20488293,7740,1009
2006,Huelva,13381338,7394282,684392,3019,94963,29290,21587284,0,1658
2006,Las Palmas,4833722,1678836,17207110,4868,2165264,0,25889800,1311958,9544
2006,Málaga,66448,1953430,4050136,2090,126134,0,6198238,464838,1786
2006,Marín y Ría de Pontevedra,10,891966,867099,4369,69875,582,1833901,37423,634
2006,Melilla,74447,45826,690467,0,31176,0,841916,21227,1163
2006,Motril,1422384,1172380,258962,3974,18828,0,2876528,32,471
2006,Pasaia,0,3248288,2203265,7313,45696,0,5504562,0,1547
2006,Santa Cruz de Tenerife,9542821,1986964,7333756,7456,1002766,49775,19923538,465729,17628
2006,Santander,425652,4164897,1265836,6515,65525,0,5928425,134,1541
2006,Sevilla,358727,2827598,2094739,0,58720,0,5339784,122611,1471
2006,Tarragona,18646119,11237751,1443978,4381,180891,2398,31515518,12203,2729
2006,Valencia,4355962,7148231,35781578,1576,253027,0,47540374,2612049,7045
2006,Vigo,89225,701899,3932990,91985,446725,429,5263253,226927,2308
2006,Vilagarcía,334244,613257,246416,0,10776,0,1204693,150,351
2005,A Coruña,8533758,4437796,1015276,28924,107675,411247,14534676,0,1378
2005,Alicante,151912,1667536,1674487,3754,58917,0,3556606,159237,1338
2005,Almería ,9479,6306756,535818,5583,142217,0,6999853,81,2343
2005,Avilés,740095,3082731,1125878,17000,55598,0,5021302,10851,914
2005,Bahía de Algeciras,21447071,2652263,39467683,1119,2814928,1963522,68346586,3179300,22154
2005,Bahía de Cádiz,107985,2557442,3036943,26209,84164,0,5812743,138441,1707
2005,Baleares,2030682,2318339,8678283,2954,277827,0,13308085,191332,10343
2005,Barcelona,12530921,4051927,27253997,2858,1198823,0,45038526,2071481,8853
2005,Bilbao,19684508,4261127,9291535,0,137004,726443,34100617,503805,3572
2005,Cartagena,20847754,5082060,840404,1411,131783,4589,26908001,38089,1690
2005,Castellón,8949177,3293591,1129985,7295,39427,0,13419475,43773,1177
2005,Ceuta ,611010,71229,861220,182,482243,0,2025884,10084,8506
2005,Ferrol-S. Cibrao  ,822346,8289621,566570,321,16122,9934,9704914,126,1063
2005,Gijón,1418466,19658167,489425,8462,216351,0,21790871,5048,1017
2005,Huelva,12927243,7512508,465509,1853,123419,0,21030532,0,1645
2005,Las Palmas,4792965,1772615,16203234,5764,2162083,0,24936661,1203154,10205
2005,Málaga,75928,2100473,2488241,1338,116292,0,4782272,247548,1669
2005,Marín y Ría de Pontevedra,3,1016241,833223,5040,82129,86,1936722,32128,610
2005,Melilla,74088,84427,642776,0,26065,0,827356,17150,1077
2005,Motril,1320118,1246697,194997,3383,17211,0,2782406,0,514
2005,Pasaia,0,3281138,2079354,8518,40978,0,5409988,0,1600
2005,Santa Cruz de Tenerife,9558027,1892082,7274673,3260,1028896,0,19756938,457551,18786
2005,Santander,277558,5139652,1219478,5549,58640,0,6700877,104,1629
2005,Sevilla,364271,2788885,1704237,0,47550,0,4904943,115669,1441
2005,Tarragona,17906990,11903296,1176304,4035,213033,0,31203658,8980,2784
2005,Valencia,1380287,6360690,33121028,1928,328809,0,41192742,2409821,6601
2005,Vigo,64547,692535,3495208,85787,429754,512,4768343,205497,2194
2005,Vilagarcía,365514,578235,240385,0,9499,0,1193633,0,339
2004,A Coruña,7331053,4444103,857310,25366,108049,540292,13306173,0,1335
2004,Alicante,148317,1555366,1600617,4341,50509,3,3359153,153830,1153
2004,Almería-Motril,1364053,6818594,733542,5130,174144,1,9095464,104,3088
2004,Avilés,744226,3007680,1258393,13738,61604,0,5085641,9719,981
2004,Bahía de Algeciras,21939418,2780515,36584302,2508,2650244,1785525,65742512,2937381,21253
2004,Bahía de Cádiz,69773,2222922,2888490,28821,87071,0,5297077,114528,1698
2004,Baleares,1872061,2224256,7817076,3325,254099,0,12170817,226615,9548
2004,Barcelona,11071098,3468306,24781387,3618,873921,0,40198330,1916493,8610
