Año,Cultivo,Precio
2016,Aguacate,2.3691666666666666
2016,Fresa,3.5258333333333334
2016,Papaya,0.73
2017,Aguacate,2.4725
2017,Fresa,3.890833333333333
2017,Papaya,0.8875000000000001
2018,Aguacate,2.8791666666666664
2018,Fresa,3.61
2018,Papaya,1.0716666666666665
2019,Aguacate,2.490909090909091
2019,Fresa,3.1072727272727274
2019,Papaya,0.8881818181818182
